project_id,material_id,date,quantity
02d,001,2022-01-31,1006.57
02d,001,2022-02-28,546.81
02d,001,2022-03-31,1250.07
02d,001,2022-04-30,414.14
02d,001,2022-05-31,584.05
02d,001,2022-06-30,1360.08
02d,001,2022-07-31,393.04
02d,001,2022-08-31,566.79
02d,001,2022-09-30,265.12
02d,001,2022-10-31,783.35
02d,001,2022-11-30,2011.53
02d,001,2022-12-31,930.74
02d,001,2023-01-31,1726.5
02d,001,2023-02-28,279.64
02d,001,2023-03-31,447.36
02d,001,2023-04-30,895.68
02d,001,2023-05-31,533.39
02d,001,2023-06-30,672.08
02d,001,2023-07-31,916.18
02d,001,2023-08-31,255.0
02d,001,2023-09-30,443.67
02d,001,2023-10-31,338.1
02d,001,2023-11-30,1463.95
02d,001,2023-12-31,728.25
02d,001,2024-01-31,480.07
02d,001,2024-02-29,1412.2
02d,001,2024-03-31,1319.66
02d,001,2024-04-30,1881.55
02d,001,2024-05-31,630.93
02d,001,2024-06-30,508.31
02d,001,2024-07-31,549.8
02d,001,2024-08-31,534.44
02d,001,2024-09-30,467.44
02d,001,2024-10-31,1147.84
02d,001,2024-11-30,2159.77
02d,001,2024-12-31,770.7
02d,002,2022-01-31,2509.73
02d,002,2022-02-28,10973.32
02d,002,2022-03-31,5399.25
02d,002,2022-04-30,1697.52
02d,002,2022-05-31,7243.42
02d,002,2022-06-30,3446.57
02d,002,2022-07-31,1449.33
02d,002,2022-08-31,2135.11
02d,002,2022-09-30,3078.09
02d,002,2022-10-31,4985.14
02d,002,2022-11-30,5767.49
02d,002,2022-12-31,3240.97
02d,002,2023-01-31,2211.55
02d,002,2023-02-28,760.62
02d,002,2023-03-31,1710.19
02d,002,2023-04-30,1975.3
02d,002,2023-05-31,2330.22
02d,002,2023-06-30,2839.2
02d,002,2023-07-31,4342.05
02d,002,2023-08-31,4146.74
02d,002,2023-09-30,1885.61
02d,002,2023-10-31,8658.45
02d,002,2023-11-30,6662.07
02d,002,2023-12-31,1451.77
02d,002,2024-01-31,1533.01
02d,002,2024-02-29,3486.99
02d,002,2024-03-31,4624.51
02d,002,2024-04-30,5312.26
02d,002,2024-05-31,548.13
02d,002,2024-06-30,1613.17
02d,002,2024-07-31,2756.57
02d,002,2024-08-31,3955.85
02d,002,2024-09-30,986.69
02d,002,2024-10-31,6404.33
02d,002,2024-11-30,3327.25
02d,002,2024-12-31,2797.3
02d,003,2022-01-31,135.82
02d,003,2022-02-28,126.49
02d,003,2022-03-31,267.3
02d,003,2022-04-30,150.39
02d,003,2022-05-31,488.54
02d,003,2022-06-30,286.51
02d,003,2022-07-31,199.8
02d,003,2022-08-31,311.99
02d,003,2022-09-30,161.91
02d,003,2022-10-31,224.96
02d,003,2022-11-30,395.59
02d,003,2022-12-31,234.53
02d,003,2023-01-31,262.43
02d,003,2023-02-28,180.5
02d,003,2023-03-31,322.4
02d,003,2023-04-30,222.88
02d,003,2023-05-31,336.33
02d,003,2023-06-30,175.74
02d,003,2023-07-31,313.07
02d,003,2023-08-31,207.02
02d,003,2023-09-30,117.03
02d,003,2023-10-31,1007.06
02d,003,2023-11-30,82.22
02d,003,2023-12-31,314.08
02d,003,2024-01-31,70.79
02d,003,2024-02-29,221.48
02d,003,2024-03-31,111.55
02d,003,2024-04-30,439.96
02d,003,2024-05-31,363.26
02d,003,2024-06-30,125.52
02d,003,2024-07-31,568.62
02d,003,2024-08-31,261.45
02d,003,2024-09-30,199.46
02d,003,2024-10-31,363.65
02d,003,2024-11-30,416.01
02d,003,2024-12-31,84.34
02d,008,2022-01-31,1404.51
02d,008,2022-02-28,401.4
02d,008,2022-03-31,902.8
02d,008,2022-04-30,275.3
02d,008,2022-05-31,964.96
02d,008,2022-06-30,839.78
02d,008,2022-07-31,428.15
02d,008,2022-08-31,774.25
02d,008,2022-09-30,283.95
02d,008,2022-10-31,942.05
02d,008,2022-11-30,417.17
02d,008,2022-12-31,558.98
02d,008,2023-01-31,391.51
02d,008,2023-02-28,1577.51
02d,008,2023-03-31,202.67
02d,008,2023-04-30,864.8
02d,008,2023-05-31,1200.28
02d,008,2023-06-30,637.03
02d,008,2023-07-31,788.66
02d,008,2023-08-31,459.6
02d,008,2023-09-30,388.96
02d,008,2023-10-31,1264.85
02d,008,2023-11-30,3641.76
02d,008,2023-12-31,175.6
02d,008,2024-01-31,1011.3
02d,008,2024-02-29,558.86
02d,008,2024-03-31,2019.07
02d,008,2024-04-30,912.59
02d,008,2024-05-31,1067.34
02d,008,2024-06-30,696.12
02d,008,2024-07-31,414.92
02d,008,2024-08-31,382.05
02d,008,2024-09-30,1012.73
02d,008,2024-10-31,1919.19
02d,008,2024-11-30,407.76
02d,008,2024-12-31,1384.39
02d,009,2022-01-31,52.55
02d,009,2022-02-28,24.15
02d,009,2022-03-31,37.63
02d,009,2022-04-30,20.44
02d,009,2022-05-31,43.52
02d,009,2022-06-30,18.14
02d,009,2022-07-31,62.53
02d,009,2022-08-31,58.54
02d,009,2022-09-30,34.83
02d,009,2022-10-31,463.58
02d,009,2022-11-30,106.12
02d,009,2022-12-31,42.81
02d,009,2023-01-31,51.29
02d,009,2023-02-28,22.9
02d,009,2023-03-31,198.96
02d,009,2023-04-30,135.13
02d,009,2023-05-31,26.14
02d,009,2023-06-30,69.75
02d,009,2023-07-31,49.4
02d,009,2023-08-31,49.36
02d,009,2023-09-30,29.96
02d,009,2023-10-31,76.1
02d,009,2023-11-30,281.61
02d,009,2023-12-31,133.04
02d,009,2024-01-31,117.59
02d,009,2024-02-29,86.97
02d,009,2024-03-31,76.0
02d,009,2024-04-30,63.07
02d,009,2024-05-31,76.98
02d,009,2024-06-30,61.34
02d,009,2024-07-31,59.54
02d,009,2024-08-31,8.63
02d,009,2024-09-30,17.61
02d,009,2024-10-31,145.12
02d,009,2024-11-30,165.28
02d,009,2024-12-31,126.11
02d,001,2022-01-31,512.59
02d,001,2022-02-28,1224.28
02d,001,2022-03-31,2824.76
02d,001,2022-04-30,334.54
02d,001,2022-05-31,432.08
02d,001,2022-06-30,639.02
02d,001,2022-07-31,660.9
02d,001,2022-08-31,629.06
02d,001,2022-09-30,831.42
02d,001,2022-10-31,678.8
02d,001,2022-11-30,329.25
02d,001,2022-12-31,196.83
02d,001,2023-01-31,829.29
02d,001,2023-02-28,1874.42
02d,001,2023-03-31,531.36
02d,001,2023-04-30,475.95
02d,001,2023-05-31,977.66
02d,001,2023-06-30,933.45
02d,001,2023-07-31,546.68
02d,001,2023-08-31,468.82
02d,001,2023-09-30,1031.71
02d,001,2023-10-31,1661.48
02d,001,2023-11-30,704.92
02d,001,2023-12-31,886.33
02d,001,2024-01-31,2071.66
02d,001,2024-02-29,697.38
02d,001,2024-03-31,1586.97
02d,001,2024-04-30,555.91
02d,001,2024-05-31,460.18
02d,001,2024-06-30,779.18
02d,001,2024-07-31,304.49
02d,001,2024-08-31,1104.3
02d,001,2024-09-30,991.32
02d,001,2024-10-31,3087.63
02d,001,2024-11-30,462.84
02d,001,2024-12-31,3149.95
02d,002,2022-01-31,1920.43
02d,002,2022-02-28,7349.48
02d,002,2022-03-31,2099.19
02d,002,2022-04-30,4161.0
02d,002,2022-05-31,2931.17
02d,002,2022-06-30,2968.26
02d,002,2022-07-31,1818.96
02d,002,2022-08-31,4461.89
02d,002,2022-09-30,2180.11
02d,002,2022-10-31,4327.04
02d,002,2022-11-30,6174.38
02d,002,2022-12-31,1388.95
02d,002,2023-01-31,3136.83
02d,002,2023-02-28,3424.64
02d,002,2023-03-31,2728.11
02d,002,2023-04-30,2100.01
02d,002,2023-05-31,3101.86
02d,002,2023-06-30,2040.18
02d,002,2023-07-31,4380.18
02d,002,2023-08-31,1037.39
02d,002,2023-09-30,2225.91
02d,002,2023-10-31,7083.93
02d,002,2023-11-30,9659.75
02d,002,2023-12-31,2666.64
02d,002,2024-01-31,5285.23
02d,002,2024-02-29,3005.54
02d,002,2024-03-31,6484.34
02d,002,2024-04-30,4688.77
02d,002,2024-05-31,2894.47
02d,002,2024-06-30,3737.42
02d,002,2024-07-31,6445.8
02d,002,2024-08-31,3187.33
02d,002,2024-09-30,3083.99
02d,002,2024-10-31,6901.69
02d,002,2024-11-30,9683.3
02d,002,2024-12-31,2584.74
02d,003,2022-01-31,114.97
02d,003,2022-02-28,364.63
02d,003,2022-03-31,269.8
02d,003,2022-04-30,199.61
02d,003,2022-05-31,839.72
02d,003,2022-06-30,110.24
02d,003,2022-07-31,262.48
02d,003,2022-08-31,138.18
02d,003,2022-09-30,381.51
02d,003,2022-10-31,964.5
02d,003,2022-11-30,446.87
02d,003,2022-12-31,202.2
02d,003,2023-01-31,728.17
02d,003,2023-02-28,207.2
02d,003,2023-03-31,422.91
02d,003,2023-04-30,573.79
02d,003,2023-05-31,198.31
02d,003,2023-06-30,186.12
02d,003,2023-07-31,537.55
02d,003,2023-08-31,81.38
02d,003,2023-09-30,232.39
02d,003,2023-10-31,1199.41
02d,003,2023-11-30,341.81
02d,003,2023-12-31,164.64
02d,003,2024-01-31,111.8
02d,003,2024-02-29,675.48
02d,003,2024-03-31,234.11
02d,003,2024-04-30,703.69
02d,003,2024-05-31,140.79
02d,003,2024-06-30,173.34
02d,003,2024-07-31,348.64
02d,003,2024-08-31,79.4
02d,003,2024-09-30,212.3
02d,003,2024-10-31,1015.07
02d,003,2024-11-30,281.4
02d,003,2024-12-31,387.19
02d,006,2022-01-31,112.75
02d,006,2022-02-28,97.39
02d,006,2022-03-31,134.83
02d,006,2022-04-30,164.65
02d,006,2022-05-31,190.85
02d,006,2022-06-30,82.94
02d,006,2022-07-31,129.42
02d,006,2022-08-31,124.65
02d,006,2022-09-30,64.34
02d,006,2022-10-31,99.82
02d,006,2022-11-30,41.64
02d,006,2022-12-31,75.24
02d,006,2023-01-31,50.62
02d,006,2023-02-28,48.7
02d,006,2023-03-31,169.19
02d,006,2023-04-30,59.6
02d,006,2023-05-31,117.97
02d,006,2023-06-30,230.14
02d,006,2023-07-31,51.79
02d,006,2023-08-31,15.55
02d,006,2023-09-30,23.37
02d,006,2023-10-31,87.23
02d,006,2023-11-30,199.93
02d,006,2023-12-31,134.32
02d,006,2024-01-31,161.89
02d,006,2024-02-29,26.8
02d,006,2024-03-31,268.42
02d,006,2024-04-30,123.31
02d,006,2024-05-31,82.07
02d,006,2024-06-30,42.32
02d,006,2024-07-31,43.08
02d,006,2024-08-31,90.47
02d,006,2024-09-30,30.24
02d,006,2024-10-31,108.72
02d,006,2024-11-30,44.73
02d,006,2024-12-31,72.91
02d,007,2022-01-31,238.54
02d,007,2022-02-28,252.41
02d,007,2022-03-31,436.29
02d,007,2022-04-30,156.19
02d,007,2022-05-31,460.15
02d,007,2022-06-30,296.19
02d,007,2022-07-31,390.99
02d,007,2022-08-31,472.15
02d,007,2022-09-30,135.03
02d,007,2022-10-31,365.07
02d,007,2022-11-30,332.81
02d,007,2022-12-31,373.31
02d,007,2023-01-31,247.77
02d,007,2023-02-28,435.09
02d,007,2023-03-31,473.03
02d,007,2023-04-30,184.91
02d,007,2023-05-31,1792.15
02d,007,2023-06-30,670.71
02d,007,2023-07-31,124.58
02d,007,2023-08-31,339.61
02d,007,2023-09-30,189.15
02d,007,2023-10-31,1049.72
02d,007,2023-11-30,143.77
02d,007,2023-12-31,216.06
02d,007,2024-01-31,349.83
02d,007,2024-02-29,309.36
02d,007,2024-03-31,465.36
02d,007,2024-04-30,1154.68
02d,007,2024-05-31,259.73
02d,007,2024-06-30,352.59
02d,007,2024-07-31,204.19
02d,007,2024-08-31,199.85
02d,007,2024-09-30,315.55
02d,007,2024-10-31,471.35
02d,007,2024-11-30,247.32
02d,007,2024-12-31,648.19
02d,009,2022-01-31,51.24
02d,009,2022-02-28,132.56
02d,009,2022-03-31,94.38
02d,009,2022-04-30,56.53
02d,009,2022-05-31,68.07
02d,009,2022-06-30,134.45
02d,009,2022-07-31,119.0
02d,009,2022-08-31,99.77
02d,009,2022-09-30,130.09
02d,009,2022-10-31,111.66
02d,009,2022-11-30,193.18
02d,009,2022-12-31,139.38
02d,009,2023-01-31,165.29
02d,009,2023-02-28,119.48
02d,009,2023-03-31,96.15
02d,009,2023-04-30,160.02
02d,009,2023-05-31,91.51
02d,009,2023-06-30,42.38
02d,009,2023-07-31,21.53
02d,009,2023-08-31,19.88
02d,009,2023-09-30,50.14
02d,009,2023-10-31,109.94
02d,009,2023-11-30,194.78
02d,009,2023-12-31,60.83
02d,009,2024-01-31,137.85
02d,009,2024-02-29,137.5
02d,009,2024-03-31,342.55
02d,009,2024-04-30,85.52
02d,009,2024-05-31,166.23
02d,009,2024-06-30,93.81
02d,009,2024-07-31,52.92
02d,009,2024-08-31,111.84
02d,009,2024-09-30,84.09
02d,009,2024-10-31,173.7
02d,009,2024-11-30,77.59
02d,009,2024-12-31,110.68
02d,010,2022-01-31,51.55
02d,010,2022-02-28,46.52
02d,010,2022-03-31,56.73
02d,010,2022-04-30,216.21
02d,010,2022-05-31,112.75
02d,010,2022-06-30,73.56
02d,010,2022-07-31,142.81
02d,010,2022-08-31,135.23
02d,010,2022-09-30,94.53
02d,010,2022-10-31,110.25
02d,010,2022-11-30,78.46
02d,010,2022-12-31,112.39
02d,010,2023-01-31,101.05
02d,010,2023-02-28,89.45
02d,010,2023-03-31,25.36
02d,010,2023-04-30,55.7
02d,010,2023-05-31,50.67
02d,010,2023-06-30,40.57
02d,010,2023-07-31,121.73
02d,010,2023-08-31,107.36
02d,010,2023-09-30,62.1
02d,010,2023-10-31,113.31
02d,010,2023-11-30,138.07
02d,010,2023-12-31,145.89
02d,010,2024-01-31,48.25
02d,010,2024-02-29,93.14
02d,010,2024-03-31,325.66
02d,010,2024-04-30,30.49
02d,010,2024-05-31,163.43
02d,010,2024-06-30,144.55
02d,010,2024-07-31,56.59
02d,010,2024-08-31,89.76
02d,010,2024-09-30,82.5
02d,010,2024-10-31,86.29
02d,010,2024-11-30,104.71
02d,010,2024-12-31,34.27
02d,001,2022-01-31,664.17
02d,001,2022-02-28,405.59
02d,001,2022-03-31,335.94
02d,001,2022-04-30,669.6
02d,001,2022-05-31,256.43
02d,001,2022-06-30,614.92
02d,001,2022-07-31,179.96
02d,001,2022-08-31,601.19
02d,001,2022-09-30,637.85
02d,001,2022-10-31,910.97
02d,001,2022-11-30,2038.96
02d,001,2022-12-31,318.43
02d,001,2023-01-31,551.36
02d,001,2023-02-28,976.18
02d,001,2023-03-31,328.33
02d,001,2023-04-30,2294.26
02d,001,2023-05-31,979.0
02d,001,2023-06-30,331.43
02d,001,2023-07-31,662.47
02d,001,2023-08-31,822.47
02d,001,2023-09-30,217.54
02d,001,2023-10-31,2866.31
02d,001,2023-11-30,684.84
02d,001,2023-12-31,295.1
02d,001,2024-01-31,475.16
02d,001,2024-02-29,2853.57
02d,001,2024-03-31,315.6
02d,001,2024-04-30,1818.14
02d,001,2024-05-31,988.93
02d,001,2024-06-30,693.96
02d,001,2024-07-31,316.22
02d,001,2024-08-31,1313.93
02d,001,2024-09-30,453.95
02d,001,2024-10-31,425.76
02d,001,2024-11-30,1239.75
02d,001,2024-12-31,2095.47
02d,002,2022-01-31,5480.22
02d,002,2022-02-28,3350.0
02d,002,2022-03-31,2855.18
02d,002,2022-04-30,2198.92
02d,002,2022-05-31,2794.31
02d,002,2022-06-30,1745.94
02d,002,2022-07-31,2522.33
02d,002,2022-08-31,2862.5
02d,002,2022-09-30,783.06
02d,002,2022-10-31,11060.12
02d,002,2022-11-30,4257.92
02d,002,2022-12-31,1888.9
02d,002,2023-01-31,2904.65
02d,002,2023-02-28,854.77
02d,002,2023-03-31,2340.01
02d,002,2023-04-30,2382.85
02d,002,2023-05-31,800.59
02d,002,2023-06-30,924.73
02d,002,2023-07-31,3568.38
02d,002,2023-08-31,5428.26
02d,002,2023-09-30,2307.91
02d,002,2023-10-31,1646.42
02d,002,2023-11-30,1680.98
02d,002,2023-12-31,3857.11
02d,002,2024-01-31,2564.65
02d,002,2024-02-29,6514.34
02d,002,2024-03-31,2999.34
02d,002,2024-04-30,2751.29
02d,002,2024-05-31,1789.38
02d,002,2024-06-30,3670.73
02d,002,2024-07-31,1350.47
02d,002,2024-08-31,2423.11
02d,002,2024-09-30,1296.21
02d,002,2024-10-31,4167.28
02d,002,2024-11-30,17076.12
02d,002,2024-12-31,1283.15
02d,003,2022-01-31,300.62
02d,003,2022-02-28,584.2
02d,003,2022-03-31,1362.15
02d,003,2022-04-30,223.23
02d,003,2022-05-31,217.79
02d,003,2022-06-30,356.03
02d,003,2022-07-31,50.52
02d,003,2022-08-31,242.21
02d,003,2022-09-30,260.07
02d,003,2022-10-31,597.61
