project_id,material_id,planned_qty,delivery_date
02d,001,28.17,2025-10-31
02d,001,33.0,2025-11-30
02d,001,56.81,2025-12-31
02d,001,102.38,2026-01-31
02d,001,65.59,2026-02-28
02d,001,85.74,2026-03-31
02d,001,24.56,2026-04-30
02d,001,84.83,2026-05-31
02d,001,76.26,2026-06-30
02d,001,18.1,2026-07-31
02d,001,26.3,2026-08-31
02d,002,21.26,2025-10-31
02d,002,101.73,2025-11-30
02d,002,66.13,2025-12-31
02d,002,105.77,2026-01-31
02d,002,62.76,2026-02-28
02d,002,23.77,2026-03-31
02d,002,17.48,2026-04-30
02d,002,33.16,2026-05-31
02d,002,22.8,2026-06-30
02d,002,56.7,2026-07-31
02d,002,47.26,2026-08-31
02d,003,28.88,2025-10-31
02d,003,33.6,2025-11-30
02d,003,28.84,2025-12-31
02d,003,47.13,2026-01-31
02d,003,95.43,2026-02-28
02d,003,83.6,2026-03-31
02d,003,99.0,2026-04-30
02d,003,62.11,2026-05-31
02d,003,51.25,2026-06-30
02d,003,35.64,2026-07-31
02d,003,56.8,2026-08-31
02d,004,37.58,2025-10-31
02d,004,102.41,2025-11-30
02d,004,82.85,2025-12-31
02d,004,77.9,2026-01-31
02d,004,86.01,2026-02-28
02d,004,87.85,2026-03-31
02d,004,47.76,2026-04-30
02d,004,76.13,2026-05-31
02d,004,26.13,2026-06-30
02d,004,23.31,2026-07-31
02d,004,65.95,2026-08-31
02d,005,65.77,2025-10-31
02d,005,77.63,2025-11-30
02d,005,55.91,2025-12-31
02d,005,42.28,2026-01-31
02d,005,88.09,2026-02-28
02d,005,80.66,2026-03-31
02d,005,58.59,2026-04-30
02d,005,42.93,2026-05-31
02d,005,64.08,2026-06-30
02d,005,10.67,2026-07-31
02d,005,53.9,2026-08-31
02d,006,54.48,2025-10-31
02d,006,76.46,2025-11-30
02d,006,32.9,2025-12-31
02d,006,93.65,2026-01-31
02d,006,65.51,2026-02-28
02d,006,40.53,2026-03-31
02d,006,90.05,2026-04-30
02d,006,96.75,2026-05-31
02d,006,70.95,2026-06-30
02d,006,62.23,2026-07-31
02d,006,79.8,2026-08-31
02d,007,80.18,2025-10-31
02d,007,75.55,2025-11-30
02d,007,50.89,2025-12-31
02d,007,51.21,2026-01-31
02d,007,19.28,2026-02-28
02d,007,12.31,2026-03-31
02d,007,48.07,2026-04-30
02d,007,35.12,2026-05-31
02d,007,37.73,2026-06-30
02d,007,85.52,2026-07-31
02d,007,45.16,2026-08-31
02d,008,14.8,2025-10-31
02d,008,23.84,2025-11-30
02d,008,24.5,2025-12-31
02d,008,89.27,2026-01-31
02d,008,11.07,2026-02-28
02d,008,101.29,2026-03-31
02d,008,75.36,2026-04-30
02d,008,56.05,2026-05-31
02d,008,80.45,2026-06-30
02d,008,39.12,2026-07-31
02d,008,39.48,2026-08-31
02d,009,26.83,2025-10-31
02d,009,25.49,2025-11-30
02d,009,10.73,2025-12-31
02d,009,103.71,2026-01-31
02d,009,34.84,2026-02-28
02d,009,18.88,2026-03-31
02d,009,38.89,2026-04-30
02d,009,86.56,2026-05-31
02d,009,54.85,2026-06-30
02d,009,81.42,2026-07-31
02d,009,45.0,2026-08-31
02d,010,93.25,2025-10-31
02d,010,50.7,2025-11-30
02d,010,53.96,2025-12-31
02d,010,106.16,2026-01-31
02d,010,35.52,2026-02-28
02d,010,64.8,2026-03-31
02d,010,47.39,2026-04-30
02d,010,56.39,2026-05-31
02d,010,58.51,2026-06-30
02d,010,57.63,2026-07-31
02d,010,22.16,2026-08-31
02d,001,39.17,2025-10-31
02d,001,27.6,2025-11-30
02d,001,82.52,2025-12-31
02d,001,55.69,2026-01-31
02d,001,86.07,2026-02-28
02d,001,26.31,2026-03-31
02d,001,19.96,2026-04-30
02d,001,95.37,2026-05-31
02d,001,85.46,2026-06-30
02d,001,51.25,2026-07-31
02d,001,97.54,2026-08-31
02d,002,20.8,2025-10-31
02d,002,101.94,2025-11-30
02d,002,38.32,2025-12-31
02d,002,33.56,2026-01-31
02d,002,61.67,2026-02-28
02d,002,108.79,2026-03-31
02d,002,60.48,2026-04-30
02d,002,47.48,2026-05-31
02d,002,12.71,2026-06-30
02d,002,14.29,2026-07-31
02d,002,69.99,2026-08-31
02d,003,70.57,2025-10-31
02d,003,22.49,2025-11-30
02d,003,33.2,2025-12-31
02d,003,53.98,2026-01-31
02d,003,118.05,2026-02-28
02d,003,66.2,2026-03-31
02d,003,56.51,2026-04-30
02d,003,88.77,2026-05-31
02d,003,22.8,2026-06-30
02d,003,93.83,2026-07-31
02d,003,52.17,2026-08-31
02d,004,92.04,2025-10-31
02d,004,41.82,2025-11-30
02d,004,26.23,2025-12-31
02d,004,20.85,2026-01-31
02d,004,42.11,2026-02-28
02d,004,58.55,2026-03-31
02d,004,101.52,2026-04-30
02d,004,12.84,2026-05-31
02d,004,85.47,2026-06-30
02d,004,58.61,2026-07-31
02d,004,57.15,2026-08-31
02d,005,44.64,2025-10-31
02d,005,82.49,2025-11-30
02d,005,62.18,2025-12-31
02d,005,82.59,2026-01-31
02d,005,42.75,2026-02-28
02d,005,83.39,2026-03-31
02d,005,112.05,2026-04-30
02d,005,56.77,2026-05-31
02d,005,14.38,2026-06-30
02d,005,67.27,2026-07-31
02d,005,69.64,2026-08-31
02d,006,60.48,2025-10-31
02d,006,24.06,2025-11-30
02d,006,43.27,2025-12-31
02d,006,30.72,2026-01-31
02d,006,15.7,2026-02-28
02d,006,62.53,2026-03-31
02d,006,61.32,2026-04-30
02d,006,84.8,2026-05-31
02d,006,58.57,2026-06-30
02d,006,57.2,2026-07-31
02d,006,12.8,2026-08-31
02d,007,25.56,2025-10-31
02d,007,81.12,2025-11-30
02d,007,75.6,2025-12-31
02d,007,98.15,2026-01-31
02d,007,45.64,2026-02-28
02d,007,77.96,2026-03-31
02d,007,58.51,2026-04-30
02d,007,92.92,2026-05-31
02d,007,102.16,2026-06-30
02d,007,55.64,2026-07-31
02d,007,70.99,2026-08-31
02d,008,84.53,2025-10-31
02d,008,33.29,2025-11-30
02d,008,8.36,2025-12-31
02d,008,82.51,2026-01-31
02d,008,84.12,2026-02-28
02d,008,79.79,2026-03-31
02d,008,79.05,2026-04-30
02d,008,71.06,2026-05-31
02d,008,35.08,2026-06-30
02d,008,91.07,2026-07-31
02d,008,92.89,2026-08-31
02d,009,97.65,2025-10-31
02d,009,15.46,2025-11-30
02d,009,90.2,2025-12-31
02d,009,45.64,2026-01-31
02d,009,29.86,2026-02-28
02d,009,24.1,2026-03-31
02d,009,61.14,2026-04-30
02d,009,60.12,2026-05-31
02d,009,20.97,2026-06-30
02d,009,88.67,2026-07-31
02d,009,35.0,2026-08-31
02d,010,86.76,2025-10-31
02d,010,23.36,2025-11-30
02d,010,66.38,2025-12-31
02d,010,38.72,2026-01-31
02d,010,44.74,2026-02-28
02d,010,16.19,2026-03-31
02d,010,25.62,2026-04-30
02d,010,60.57,2026-05-31
02d,010,32.4,2026-06-30
02d,010,69.66,2026-07-31
02d,010,18.44,2026-08-31
02d,001,32.23,2025-10-31
02d,001,23.13,2025-11-30
02d,001,92.19,2025-12-31
02d,001,51.65,2026-01-31
02d,001,75.05,2026-02-28
02d,001,23.79,2026-03-31
02d,001,70.71,2026-04-30
02d,001,75.03,2026-05-31
02d,001,33.78,2026-06-30
02d,001,48.44,2026-07-31
02d,001,11.99,2026-08-31
02d,002,58.98,2025-10-31
02d,002,75.21,2025-11-30
02d,002,17.88,2025-12-31
02d,002,104.89,2026-01-31
02d,002,22.86,2026-02-28
02d,002,29.21,2026-03-31
02d,002,25.45,2026-04-30
02d,002,28.21,2026-05-31
02d,002,30.44,2026-06-30
02d,002,64.73,2026-07-31
02d,002,96.21,2026-08-31
02d,003,9.91,2025-10-31
02d,003,30.02,2025-11-30
02d,003,22.17,2025-12-31
02d,003,74.2,2026-01-31
02d,003,21.27,2026-02-28
02d,003,20.04,2026-03-31
02d,003,61.43,2026-04-30
02d,003,70.77,2026-05-31
02d,003,46.74,2026-06-30
02d,003,30.25,2026-07-31
02d,003,93.9,2026-08-31
02d,004,24.02,2025-10-31
02d,004,30.2,2025-11-30
02d,004,42.88,2025-12-31
02d,004,92.64,2026-01-31
02d,004,40.7,2026-02-28
02d,004,77.4,2026-03-31
02d,004,47.43,2026-04-30
02d,004,95.25,2026-05-31
02d,004,80.37,2026-06-30
02d,004,42.85,2026-07-31
02d,004,75.34,2026-08-31
02d,005,75.51,2025-10-31
02d,005,33.1,2025-11-30
02d,005,81.32,2025-12-31
02d,005,81.91,2026-01-31
02d,005,55.93,2026-02-28
02d,005,42.03,2026-03-31
02d,005,28.86,2026-04-30
02d,005,81.08,2026-05-31
02d,005,23.61,2026-06-30
02d,005,70.92,2026-07-31
