material_id,order_date,qty,expected_delivery
001,2022-02-17,24074.87,2022-04-13
001,2022-08-10,30654.75,2022-09-29
001,2022-11-18,18576.9,2023-01-01
001,2023-01-12,28805.63,2023-02-20
001,2023-04-24,12698.62,2023-06-01
001,2023-06-06,17506.49,2023-07-21
001,2023-08-15,44395.65,2023-10-05
001,2023-09-08,27466.16,2023-10-26
001,2024-03-06,19775.36,2024-04-28
001,2024-07-17,18552.05,2024-08-29
001,2024-07-29,13015.89,2024-09-17
001,2024-09-18,38630.82,2024-11-09
002,2022-01-27,99126.35,2022-03-26
002,2022-09-15,62243.09,2022-11-19
002,2022-10-11,69684.95,2022-12-06
002,2022-12-07,108378.92,2023-01-26
002,2023-12-08,89686.67,2024-01-28
003,2022-02-07,8693.23,2022-03-09
003,2022-09-18,15437.64,2022-10-09
003,2023-01-18,9350.9,2023-02-23
003,2023-05-23,6912.7,2023-07-01
003,2023-05-28,8163.92,2023-06-18
003,2024-04-20,9343.43,2024-05-29
004,2022-01-06,1707.39,2022-02-10
004,2022-01-30,1982.54,2022-03-15
004,2022-11-30,1983.43,2023-01-16
004,2023-07-10,1556.2,2023-08-22
004,2023-06-20,1592.09,2023-08-10
004,2023-09-27,1968.51,2023-11-03
004,2024-01-30,1775.17,2024-03-12
004,2024-11-02,1728.18,2024-12-27
005,2022-04-23,7107.24,2022-06-29
005,2022-07-06,15935.73,2022-09-14
005,2022-10-20,7407.56,2022-12-24
005,2023-04-15,6715.82,2023-06-12
005,2023-05-26,6755.1,2023-07-30
005,2023-12-26,6960.72,2024-03-05
005,2024-04-20,5480.84,2024-06-12
006,2022-05-06,1783.08,2022-07-14
006,2022-10-10,2230.99,2022-12-01
006,2023-08-01,2070.54,2023-09-29
007,2021-12-31,8697.32,2022-02-04
007,2022-01-02,9824.68,2022-02-06
007,2022-03-28,10470.7,2022-05-02
007,2022-10-03,13389.54,2022-11-15
007,2023-01-16,8932.29,2023-02-28
007,2023-10-07,13396.91,2023-11-27
007,2024-01-05,13105.51,2024-02-11
007,2024-05-25,5779.66,2024-07-03
007,2024-08-25,14034.52,2024-10-09
008,2022-06-22,20809.03,2022-09-16
008,2023-02-12,31601.77,2023-05-03
008,2023-02-25,17322.43,2023-05-26
008,2023-06-17,32407.66,2023-09-12
008,2023-07-31,31440.07,2023-10-30
008,2024-05-23,16240.15,2024-08-19
008,2024-07-21,37420.84,2024-10-17
009,2021-08-06,3114.83,2021-12-14
009,2021-11-06,2829.65,2022-02-28
009,2022-02-26,1796.9,2022-06-25
009,2022-04-17,1591.97,2022-08-19
009,2022-05-03,2259.57,2022-08-22
009,2022-06-13,4460.62,2022-10-12
009,2023-01-09,2660.57,2023-05-13
009,2023-05-17,1821.03,2023-09-22
009,2023-05-23,3896.34,2023-09-16
009,2023-11-25,2884.88,2024-03-14
009,2024-03-16,2282.42,2024-07-14
010,2021-08-01,2232.31,2022-01-31
010,2022-07-20,2187.6,2023-01-07
010,2022-09-29,2506.95,2023-03-24
010,2023-05-23,2545.43,2023-11-21
010,2024-04-19,2351.79,2024-10-15
010,2024-05-02,3580.95,2024-11-06
